region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.1,0.05,1322.9615944,33.21127066,0.0251037299953233,66.14807972,117.49135691,1.660563533,3.560563533,2,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.2,0.1,1431.730885,29.73143811,0.0207660800095124,143.1730885,260.66444541,2.973143811,6.533707344,3,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.3,0.1,1310.530338,24.75463376,0.018889019996117,131.0530338,391.71747921,2.475463376,9.00917072,4,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.4,0.1,1683.114784,7.2253593,0.00429284999970626,168.3114784,560.02895761,0.72253593,9.73170665,5,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.5,0.1,1628.309595,6.61614764,0.00406320005748047,162.8309595,722.85991711,0.661614764,10.393321414,6,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.6,0.1,1793.145704,6.93459652,0.00386728000102327,179.3145704,902.17448751,0.693459652,11.086781066,7,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.05,0.05,942.9587662,39.2,0.0415712769265308,47.14793831,47.14793831,1.96,1.96,1,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.1,0.05,1242.4191622,32.8339206,0.0264274100069897,62.12095811,109.26889642,1.64169603,3.60169603,2,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.2,0.1,1415.851175,26.70972092,0.0188647799935611,141.5851175,250.85401392,2.670972092,6.272668122,3,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.3,0.1,1441.908031,,,144.1908031,395.04481702,,,4,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.4,0.1,1466.181784,10.87859966,0.00741968000060762,146.6181784,541.66299542,1.087859966,,5,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.5,0.1,1350.76791,7.37176184,0.00545746000140024,135.076791,676.73978642,0.737176184,,6,0
sc,Jena_1,Edinburgh,EB,330319.039451522,672184.579077183,2004,grass,improved pasture,EB_18,EB_2004_18,0.6,0.1,1419.585598,5.76171465,0.00405872999706214,141.9585598,818.69834622,0.576171465,,7,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.05,0.05,962.1691792,31.4,0.0326345934569508,48.10845896,48.10845896,1.57,1.57,1,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.1,0.05,1382.4432234,34.94190222,0.0252754700001808,69.12216117,117.23062013,1.747095111,3.317095111,2,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.2,0.1,1395.26138,,,139.526138,256.75675813,,,3,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.3,0.1,1455.886886,25.28415461,0.0173668400018818,145.5886886,402.34544673,2.528415461,,4,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.4,0.1,1496.91508,10.88965304,0.00727473000004783,149.691508,552.03695473,1.088965304,,5,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.5,0.1,1557.035935,4.98598718,0.00320222999862877,155.7035935,707.74054823,0.498598718,,6,0
sc,Jena_1,Edinburgh,EB,330325.462416977,672192.454941175,2004,grass,improved pasture,EB_19,EB_2004_19,0.6,0.1,1478.798079,6.38150172,0.00431533000388757,147.8798079,855.62035613,0.638150172,,7,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.05,0.05,841.8938264,44,0.0522631222848459,42.09469132,42.09469132,2.2,2.2,1,0
